db	db_date_accessed	HGNC_date_accessed	Date_gene_mapped	changelog_link
Hallmark	Feb 11 2021 10:46:58	Feb 11 2021 10:54:45	Feb 11 2021 11:17:27	https://github.com/WangLab-MSSM/pathway_db_gene_resolution/blob/main/gene_mapped/Hallmark/changelog.tsv
KEGG	Feb 11 2021 10:44:25	Feb 11 2021 10:54:45	Feb 11 2021 11:17:27	https://github.com/WangLab-MSSM/pathway_db_gene_resolution/blob/main/gene_mapped/KEGG/changelog.tsv
DDR	Feb 23 2021 19:24:00	Feb 11 2021 10:54:45	Feb 23 2021 19:25:38	Not publicly available
Reactome	Feb 11 2021 10:40:35	Feb 11 2021 10:54:45	Feb 11 2021 11:17:28	https://github.com/WangLab-MSSM/pathway_db_gene_resolution/blob/main/gene_mapped/Reactome/changelog.tsv
TGFb signatures	Feb 15 2021 10:38:23	Feb 11 2021 10:54:45	Feb 15 2021 10:40:59	Not publicly available
PhosphositePlus	Feb 23 2021 19:28:16	Feb 11 2021 10:54:45	Feb 23 2021 19:28:16	https://github.com/WangLab-MSSM/pathway_db_gene_resolution/blob/main/gene_mapped/PhosphositePlus/changelog.tsv
PTRC_DQ_list	Feb 23 2021 19:37:57	Feb 11 2021 10:54:45	Feb 23 2021 19:41:36	Not publicly available
